DATE,LNU03000000_JTUJOL
2000-12-01,1.2143021914648212
2001-01-01,1.1886623748211731
2001-02-01,1.3466143682906689
2001-03-01,1.4419583517944174
2001-04-01,1.1784102060843965
2001-05-01,1.2986355633802817
2001-06-01,1.5781430886779347
2001-07-01,1.4007352941176471
2001-08-01,1.7093788063337393
2001-09-01,1.7168231413346866
2001-10-01,1.7928535732133933
2001-11-01,2.2588967971530249
2001-12-01,2.5738410596026490
2002-01-01,2.2724077328646749
2002-02-01,2.7383612662942272
2002-03-01,2.5789009697325889
2002-04-01,2.0978398983481576
2002-05-01,2.2485891647855530
2002-06-01,2.6104321907600596
2002-07-01,2.3058355437665782
2002-08-01,2.3019760645699972
2002-09-01,2.4230171073094868
2002-10-01,2.0623838598354128
2002-11-01,2.6135636596289187
2002-12-01,3.1768575851393189
2003-01-01,2.5662387325867249
2003-02-01,3.0601454064771976
2003-03-01,3.0957775489186406
2003-04-01,2.3812324929971989
2003-05-01,2.5335320417287630
2003-06-01,2.8993389423076923
2003-07-01,2.7685680332739156
2003-08-01,2.7052696078431373
2003-09-01,2.7841584158415842
2003-10-01,2.2895179372197309
2003-11-01,2.7841750841750842
2003-12-01,2.7975352112676056
2004-01-01,2.5414118954974986
2004-02-01,2.6336336336336336
2004-03-01,2.6346555323590814
2004-04-01,1.9631763527054108
2004-05-01,2.0690387679235263
2004-06-01,2.6364749082007344
2004-07-01,2.0324504891434025
2004-08-01,2.1873278236914601
2004-09-01,1.9939217758985201
2004-10-01,1.8055622152960921
2004-11-01,2.4575184353959602
2004-12-01,2.1804878048780488
2005-01-01,2.1491473657419191
2005-02-01,2.2803414243798346
2005-03-01,2.0466427473090723
2005-04-01,1.5623003194888179
2005-05-01,1.8956815816857440
2005-06-01,1.9803724207347760
2005-07-01,1.6930885529157667
2005-08-01,1.7260306242638398
2005-09-01,1.6729661212260890
2005-10-01,1.5856102003642987
2005-11-01,1.8696322962201080
2005-12-01,1.8613861386138614
2006-01-01,1.6951871657754011
2006-02-01,1.8747258103826468
2006-03-01,1.5751194094659140
2006-04-01,1.2779864763335838
2006-05-01,1.4775754884547069
2006-06-01,1.6183862433862434
2006-07-01,1.6054910242872228
2006-08-01,1.4640495867768595
2006-09-01,1.3950305327437355
2006-10-01,1.3080291970802920
2006-11-01,1.5300139599813867
2006-12-01,1.5995564317397733
2007-01-01,1.5846281334162005
2007-02-01,1.6610549943883277
2007-03-01,1.4274210200289077
2007-04-01,1.2549471661863593
2007-05-01,1.3797064454371410
2007-06-01,1.5283888539702493
2007-07-01,1.5398410434073772
2007-08-01,1.5119453924914676
2007-09-01,1.4899271324474925
2007-10-01,1.4022774327122153
2007-11-01,1.6022700949733611
2007-12-01,1.8276717084056534
2008-01-01,1.7558735583084152
2008-02-01,1.9521354933726068
2008-03-01,1.9402948996857626
2008-04-01,1.6349562485977115
2008-05-01,1.8988948977192570
2008-06-01,2.3776949693904711
2008-07-01,2.3506105158235734
2008-08-01,2.4892331932773109
2008-09-01,2.8374460209747070
2008-10-01,2.6464505310229178
2008-11-01,3.3845893883068604
2008-12-01,4.0737037037037037
2009-01-01,4.6593839541547278
2009-02-01,5.0963541666666667
2009-03-01,5.5983078162771958
2009-04-01,5.1111111111111111
2009-05-01,5.4033255993812838
2009-06-01,6.1991786447638604
2009-07-01,6.3022388059701493
2009-08-01,6.0428047289033836
2009-09-01,5.8291900561347233
2009-10-01,5.5039727582292849
2009-11-01,6.3804251550044287
2009-12-01,6.8335651367640241
2010-01-01,5.6124435175530066
2010-02-01,6.3506751389992057
2010-03-01,5.9095363739163211
2010-04-01,4.2222543352601156
2010-05-01,4.7219848833388104
2010-06-01,5.4583791712504584
2010-07-01,4.6375612745098039
2010-08-01,4.7456591639871383
2010-09-01,4.8144364998297583
2010-10-01,3.9553342816500711
2010-11-01,4.8315290933694181
2010-12-01,5.3505351681957187
2011-01-01,4.8214977404777276
2011-02-01,4.7122488658457550
2011-03-01,4.3448702101359703
2011-04-01,3.6974860335195531
2011-05-01,4.1602603843769374
2011-06-01,4.2705986959098992
2011-07-01,3.7898607827685842
2011-08-01,4.0661828737300435
2011-09-01,3.5635213494992093
2011-10-01,3.3211660329531052
2011-11-01,3.8325736858097843
2011-12-01,3.8766035430665852
2012-01-01,3.5043995859213251
2012-02-01,3.8636363636363636
2012-03-01,3.2643561851758158
2012-04-01,2.8384175405147760
2012-05-01,3.1544987146529563
2012-06-01,3.4658254468980021
2012-07-01,3.4079348931841302
2012-08-01,3.2247904495808992
2012-09-01,3.0015337423312883
2012-10-01,2.8442344961240310
2012-11-01,3.1899300699300699
2012-12-01,3.4794359576968273
2013-01-01,3.4334462099505079
2013-02-01,3.2526671870934166
2013-03-01,2.9165638114045915
2013-04-01,2.4912915629947976
2013-05-01,2.6928758637121754
2013-06-01,3.0204685573366215
2013-07-01,2.9492311447400537
2013-08-01,2.7199810156620788
2013-09-01,2.6071856287425150
2013-10-01,2.3389057750759878
2013-11-01,2.7258492569002123
2013-12-01,2.8363636363636364
2014-01-01,2.6962245404868356
2014-02-01,2.5837286527514231
2014-03-01,2.4340494340494340
2014-04-01,1.7907297830374753
2014-05-01,1.9652445369406868
2014-06-01,2.0264235968865219
2014-07-01,2.0142661715849130
2014-08-01,1.7846462436177972
2014-09-01,1.8010450160771704
2014-10-01,1.6038433111603843
2014-11-01,1.9336768989468967
2014-12-01,1.8650100738750839
2015-01-01,1.8112128146453089
2015-02-01,1.7264616552771450
2015-03-01,1.6828842798992053
2015-04-01,1.2906675307841866
2015-05-01,1.4914468995010691
2015-06-01,1.6798910929599378
2015-07-01,1.3777186668752934
2015-08-01,1.4515383247376845
2015-09-01,1.3677604446835216
2015-10-01,1.2241379310344828
2015-11-01,1.4364567526555387
2015-12-01,1.4690299961044020
2016-01-01,1.4097387173396675
2016-02-01,1.4811677779780141
2016-03-01,1.3397160779135028
2016-04-01,1.1651996227601383
2016-05-01,1.2483977134938507
2016-06-01,1.4480796586059744
2016-07-01,1.2903074761979085
2016-08-01,1.3659036556200888
2016-09-01,1.2844682992284468
2016-10-01,1.2469859343603483
2016-11-01,1.2763728323699422
2016-12-01,1.3561566105541895
2017-01-01,1.4738650750587810
2017-02-01,1.3910052910052910
2017-03-01,1.2685475444096134
2017-04-01,0.98615916955017301038
2017-05-01,1.1255351943825998
2017-06-01,1.1657822801093423
2017-07-01,1.1176028837488735
2017-08-01,1.1267975877532086
2017-09-01,1.0181705233731946
2017-10-01,0.93401167140505760886
2017-11-01,1.0778463648834019
2017-12-01,1.1046982227696639
2018-01-01,1.0945493300852619
2018-02-01,1.1311213909714468
2018-03-01,0.98917556346381969158
2018-04-01,0.80053981106612685560
2018-05-01,0.82052744119743406985
2018-06-01,0.94676858929812369701
2018-07-01,0.88447890655802339335
2018-08-01,0.85664335664335664336
2018-09-01,0.76839019189765458422
2018-10-01,0.75290280495759947815
2018-11-01,0.79734688117414620378
2018-12-01,0.89397983392645314353
2019-01-01,0.95454545454545454545
2019-02-01,0.98046470327068225544
2019-03-01,0.87664835164835164835
2019-04-01,0.69644473173884938591
2019-05-01,0.75136537411250682687
2019-06-01,0.88234469218903379610
2019-07-01,0.87846710438161597213
2019-08-01,0.83587117639132192427
2019-09-01,0.75473000966717304240
2019-10-01,0.71838331160365058670
2019-11-01,0.84540087010565568676
2019-12-01,0.91777851901267511674
2020-01-01,0.90965034965034965035
2020-02-01,0.93335334734314019814
2020-03-01,1.2859884836852207
2020-04-01,4.3561749903213318
2020-05-01,3.7967795669072737
2020-06-01,3.0165247871807712
2020-07-01,2.3353160879789736
2020-08-01,2.0855972074669904
2020-09-01,1.8517345399698341
2020-10-01,1.4456847263817043
2020-11-01,1.6222538327801486
2020-12-01,1.6936350317434478
2021-01-01,1.5114918512327622
2021-02-01,1.4088405212951767
2021-03-01,1.1910774410774411
2021-04-01,0.93832688784856503155
2021-05-01,0.91123955000516049128
2021-06-01,0.99028056112224448898
2021-07-01,0.78064679986454453099
2021-08-01,0.76331519314836292265
2021-09-01,0.67024567788898999090
2021-10-01,0.57862057392179895956
2021-11-01,0.59916333903783989352
2021-12-01,0.55623950755456071628
2022-01-01,0.63042337298810356893
2022-02-01,0.60542760221389037672
2022-03-01,0.51490107688454795893
2022-04-01,0.43892239646160032167
2022-05-01,0.49110383287598477472
2022-06-01,0.58583055863854975953
2022-07-01,0.50476113621691413815
2022-08-01,0.60327868852459016393
2022-09-01,0.50087147968076323273
2022-10-01,0.50972373682297346419
2022-11-01,0.55059316120027913468
2022-12-01,0.52656434474616292798
2023-01-01,0.60249385981484980162
2023-02-01,0.67224706249350109182
2023-03-01,0.63000417014178482068
2023-04-01,0.47402358142962417097
2023-05-01,0.60949529512403763901
2023-06-01,0.71480022509848058526
2023-07-01,0.66967945349448239622
